10:34:56.449 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:34:56.452 | INFO  | nukr.profile-state | Removing Cris from storage.
10:34:56.453 | INFO  | nukr.profile-state | Removing Ed from storage.
10:34:56.453 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:34:56.453 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:36:36.211 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:36:36.212 | INFO  | nukr.profile-state | Removing Cris from storage.
10:36:36.212 | INFO  | nukr.profile-state | Removing Ed from storage.
10:36:36.213 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:36:36.213 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:36:39.733 | INFO  | nukr.profile-state | Connecting Ed and Cris
10:36:39.734 | INFO  | nukr.profile-state | Removing Ed from storage.
10:36:39.734 | INFO  | nukr.profile-state | Removing Cris from storage.
10:36:39.735 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:36:39.735 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:37:00.488 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:37:02.283 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:37:03.766 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:37:03.769 | INFO  | nukr.profile-state | Removing Cris from storage.
10:37:03.770 | INFO  | nukr.profile-state | Removing Ed from storage.
10:37:03.770 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:37:03.770 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:40:14.720 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:40:16.678 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:43:32.325 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:43:34.215 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:44:14.689 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:44:14.692 | INFO  | nukr.profile-state | Removing Cris from storage.
10:44:14.694 | INFO  | nukr.profile-state | Removing Ed from storage.
10:44:14.694 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:44:14.695 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
